Logradouro,Endereço,Numero,Complemento,Bairro,Cidade,Estado,Região,País,CEP,Endereço completo,Latitude,Longitude
,,,,,Manaus,Distrito Federal,,Brasil,,"Rua Francisco Queiroz, 654 (antigos 47) -  Conjunto Manoa - Cidade Nova I - Manaus - AM - CEP 69090-741",,
,,,,,Parintins,Distrito Federal,,Brasil,,"Praça Cristo Redentor, 2102 - Centro - Parintins - AM - CEP 69151-301",,
,,,,,Alagoinhas,Distrito Federal,,Brasil,,Rua Treze de Maio n.º 107 - Centro - CEP 48005-430,,
,,,,,Amargosa,Distrito Federal,,Brasil,,"Rua Benedito Almeida, 216 - Centro - Amargosa - BA - CEP 45300-000",,
,,,,,Cruzeiro do Sul,Espírito Santo,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Espírito Santo,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Espírito Santo,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Espírito Santo,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Espírito Santo,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Espírito Santo,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Espírito Santo,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Espírito Santo,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Espírito Santo,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Espírito Santo,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Espírito Santo,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Espírito Santo,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Espírito Santo,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Espírito Santo,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Rio Largo,Espírito Santo,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Espírito Santo,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Espírito Santo,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Espírito Santo,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Espírito Santo,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Espírito Santo,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Espírito Santo,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Espírito Santo,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Espírito Santo,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Manaus,Espírito Santo,,Brasil,,Avenida Cosme Ferreira  nº 4605 Loja 17A - São José Operário - CEP 69085-015,,
,,,,,Manaus,Espírito Santo,,Brasil,,Avenida  Autaz  Mirim nº 282 – LOJA 01 - Tancredo Neves - CEP 69087-215,,
,,,,,Manaus,Espírito Santo,,Brasil,,Av. Arquiteto José Henrique Bento Rodrigues nº 3760  EC 103-G Bairro: Monte das Oliveiras - Manaus / AM CEP: 69.093-149,,
,,,,,Cruzeiro do Sul,Goiás,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Goiás,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Goiás,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Goiás,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Goiás,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Goiás,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Goiás,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Goiás,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Goiás,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Goiás,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Goiás,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Goiás,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Goiás,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Goiás,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Rio Largo,Goiás,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Goiás,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Goiás,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Goiás,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Goiás,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Goiás,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Goiás,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Goiás,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Goiás,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Manaus,Goiás,,Brasil,,Avenida Cosme Ferreira  nº 4605 Loja 17A - São José Operário - CEP 69085-015,,
,,,,,Manaus,Goiás,,Brasil,,Avenida  Autaz  Mirim nº 282 – LOJA 01 - Tancredo Neves - CEP 69087-215,,
,,,,,Manaus,Goiás,,Brasil,,Av. Arquiteto José Henrique Bento Rodrigues nº 3760  EC 103-G Bairro: Monte das Oliveiras - Manaus / AM CEP: 69.093-149,,
,,,,,Manaus,Goiás,,Brasil,,Avenida Noel Nutels nº 1762 – Loja 3105 – 1º pavimento Bairro: Cidade Nova - Manaus / AM CEP: 69.095-000,,
,,,,,Manaus,Goiás,,Brasil,,"Avenida Coronel Teixeira nº 5.705
Salão Comercial nº L40.3 - terceiro piso
Manaus / AM CEP: 69037-000",,
,,,,,Manaus,Goiás,,Brasil,,"Av. Eduardo Ribeiro, 409/413 e Joaquim Sarmento, 78, Centro - Manaus - AM - CEP 69010-000",,
,,,,,Manaus,Goiás,,Brasil,,"Avenida Laguna, 708 - Nova Esperança - Manaus - AM, CEP 78890-000",,
,,,,,Manaus,Goiás,,Brasil,,"Avenida Autaz Mirim, 6.100 - LUC 2007/2008/2009B/2010 - São José - Manaus / AM - CEP 69.085-000",,
,,,,,Manaus,Goiás,,Brasil,,"Rua Francisco Queiroz, 654 (antigos 47) -  Conjunto Manoa - Cidade Nova I - Manaus - AM - CEP 69090-741",,
,,,,,Parintins,Goiás,,Brasil,,"Praça Cristo Redentor, 2102 - Centro - Parintins - AM - CEP 69151-301",,
,,,,,Alagoinhas,Goiás,,Brasil,,Rua Treze de Maio n.º 107 - Centro - CEP 48005-430,,
,,,,,Amargosa,Goiás,,Brasil,,"Rua Benedito Almeida, 216 - Centro - Amargosa - BA - CEP 45300-000",,
,,,,,Barreiras,Goiás,,Brasil,,"Rua Princesa Isabel, 361 - Primavera - CEP 47803-070",,
,,,,,Brumado,Goiás,,Brasil,,"Rua Doutor Mário Meira, nº 147 Bairro: Centro - Brumado / BA CEP: 46100-000",,
,,,,,Camaçari,Goiás,,Brasil,,Rua Duque de Caxias n.º 309 CEP 42800-150,,
,,,,,Camaçari,Goiás,,Brasil,,"Via Parafuso s/nº, Lote 4 EUC - nº 1048 e 1049",,
,,,,,Candeias,Goiás,,Brasil,,Praça Doutor Gualberto Dantas Fontes n.º 138 - Centro - CEP 43805-010,,
,,,,,Cruzeiro do Sul,Maranhão,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Maranhão,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Maranhão,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Maranhão,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Maranhão,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Maranhão,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Maranhão,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Maranhão,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Maranhão,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Maranhão,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Maranhão,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Maranhão,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Maranhão,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Maranhão,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Rio Largo,Maranhão,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Maranhão,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Maranhão,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Maranhão,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Maranhão,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Maranhão,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Maranhão,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Maranhão,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Maranhão,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Manaus,Maranhão,,Brasil,,Avenida Cosme Ferreira  nº 4605 Loja 17A - São José Operário - CEP 69085-015,,
,,,,,Manaus,Maranhão,,Brasil,,Avenida  Autaz  Mirim nº 282 – LOJA 01 - Tancredo Neves - CEP 69087-215,,
,,,,,Manaus,Maranhão,,Brasil,,Av. Arquiteto José Henrique Bento Rodrigues nº 3760  EC 103-G Bairro: Monte das Oliveiras - Manaus / AM CEP: 69.093-149,,
,,,,,Manaus,Maranhão,,Brasil,,Avenida Noel Nutels nº 1762 – Loja 3105 – 1º pavimento Bairro: Cidade Nova - Manaus / AM CEP: 69.095-000,,
,,,,,Manaus,Maranhão,,Brasil,,"Avenida Coronel Teixeira nº 5.705
Salão Comercial nº L40.3 - terceiro piso
Manaus / AM CEP: 69037-000",,
,,,,,Manaus,Maranhão,,Brasil,,"Av. Eduardo Ribeiro, 409/413 e Joaquim Sarmento, 78, Centro - Manaus - AM - CEP 69010-000",,
,,,,,Cruzeiro do Sul,Mato Grosso,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Mato Grosso,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Mato Grosso,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Mato Grosso,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Mato Grosso,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Mato Grosso,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Mato Grosso,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Mato Grosso,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Mato Grosso,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Mato Grosso,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Mato Grosso,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Mato Grosso,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Mato Grosso,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Mato Grosso,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Rio Largo,Mato Grosso,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Mato Grosso,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Mato Grosso,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Mato Grosso,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Mato Grosso,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Mato Grosso,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Mato Grosso,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Mato Grosso,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Mato Grosso,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Cruzeiro do Sul,Amazonas,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Amazonas,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Amazonas,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Amazonas,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Amazonas,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Amazonas,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Amazonas,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Amazonas,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Amazonas,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Amazonas,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Amazonas,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Amazonas,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Amazonas,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Amazonas,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Cruzeiro do Sul,Minas Gerais,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Minas Gerais,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Minas Gerais,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Minas Gerais,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Minas Gerais,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Minas Gerais,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Minas Gerais,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Minas Gerais,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Minas Gerais,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Minas Gerais,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Minas Gerais,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Minas Gerais,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Minas Gerais,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Minas Gerais,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Rio Largo,Minas Gerais,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Minas Gerais,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Minas Gerais,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Minas Gerais,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Minas Gerais,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Minas Gerais,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Manaus,Minas Gerais,,Brasil,,Avenida Cosme Ferreira  nº 4605 Loja 17A - São José Operário - CEP 69085-015,,
,,,,,Manaus,Minas Gerais,,Brasil,,Avenida  Autaz  Mirim nº 282 – LOJA 01 - Tancredo Neves - CEP 69087-215,,
,,,,,Manaus,Minas Gerais,,Brasil,,Av. Arquiteto José Henrique Bento Rodrigues nº 3760  EC 103-G Bairro: Monte das Oliveiras - Manaus / AM CEP: 69.093-149,,
,,,,,Manaus,Minas Gerais,,Brasil,,Avenida Noel Nutels nº 1762 – Loja 3105 – 1º pavimento Bairro: Cidade Nova - Manaus / AM CEP: 69.095-000,,
,,,,,Manaus,Minas Gerais,,Brasil,,"Avenida Coronel Teixeira nº 5.705
Salão Comercial nº L40.3 - terceiro piso
Manaus / AM CEP: 69037-000",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Av. Eduardo Ribeiro, 409/413 e Joaquim Sarmento, 78, Centro - Manaus - AM - CEP 69010-000",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Avenida Laguna, 708 - Nova Esperança - Manaus - AM, CEP 78890-000",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Avenida Autaz Mirim, 6.100 - LUC 2007/2008/2009B/2010 - São José - Manaus / AM - CEP 69.085-000",,
,,,,,Manaus,Minas Gerais,,Brasil,,"Rua Francisco Queiroz, 654 (antigos 47) -  Conjunto Manoa - Cidade Nova I - Manaus - AM - CEP 69090-741",,
,,,,,Parintins,Minas Gerais,,Brasil,,"Praça Cristo Redentor, 2102 - Centro - Parintins - AM - CEP 69151-301",,
,,,,,Alagoinhas,Minas Gerais,,Brasil,,Rua Treze de Maio n.º 107 - Centro - CEP 48005-430,,
,,,,,Amargosa,Minas Gerais,,Brasil,,"Rua Benedito Almeida, 216 - Centro - Amargosa - BA - CEP 45300-000",,
,,,,,Barreiras,Minas Gerais,,Brasil,,"Rua Princesa Isabel, 361 - Primavera - CEP 47803-070",,
,,,,,Brumado,Minas Gerais,,Brasil,,"Rua Doutor Mário Meira, nº 147 Bairro: Centro - Brumado / BA CEP: 46100-000",,
,,,,,Camaçari,Minas Gerais,,Brasil,,Rua Duque de Caxias n.º 309 CEP 42800-150,,
,,,,,Camaçari,Minas Gerais,,Brasil,,"Via Parafuso s/nº, Lote 4 EUC - nº 1048 e 1049",,
,,,,,Candeias,Minas Gerais,,Brasil,,Praça Doutor Gualberto Dantas Fontes n.º 138 - Centro - CEP 43805-010,,
,,,,,Catu,Minas Gerais,,Brasil,,"Rua Desembargador Pedro Ribeiro Bittencourt , Centro - Catú - BA
CEP 48110-000",,
,,,,,Conceição do Coité,Minas Gerais,,Brasil,,Avenida Barão  do Rio Branco  nº 39 - Bairro: Centro - Conceição do Coité / BA CEP: 48730-000,,
,,,,,Cruz das Almas,Minas Gerais,,Brasil,,Rua J B da Fonseca s/nº Bairro: Centro - Cruz das Almas / BA CEP: 44380-000,,
,,,,,Dias D'Ávila,Minas Gerais,,Brasil,,"Av. Brasil, 451 - Bairro: Centro - Dias D´Ávila/ BA - CEP: 42.8500-000",,
,,,,,Eunápolis,Minas Gerais,,Brasil,,"Rua Porto Seguro, 615 - Centro - CEP 45820-006",,
,,,,,Feira de Santana,Minas Gerais,,Brasil,,"Av. João Durval Carneiro, 3665 Loja 179 B, 1º Piso - Campo do Gado - CEP 44037-010",,
,,,,,Feira de Santana,Minas Gerais,,Brasil,,"Av. Senhor dos Passos, 942 - Centro - CEP 44010-231",,
,,,,,Feira de Santana,Minas Gerais,,Brasil,,"BR 324 sentido Salvador Feira (Avenida Deputado Luis Eduardo Magalhães) loja 319B, 320, 321 e 322, Limoeiro - Feira de Santana - BA - CEP 44096-486",,
,,,,,Feira de Santana,Minas Gerais,,Brasil,,"Rua Marechal Deodoro, 438  - Centro - Feira de Santana - BA
CEP 44002-064",,
,,,,,Feira de Santana,Minas Gerais,,Brasil,,"Av. Getúlio Vargas 663, Centro, Feira de Santana,/BA - CEP 44001-325",,
,,,,,Guanambi,Minas Gerais,,Brasil,,"Rua Doutor Francisco José Fernandes  nº 90
Bairro: Centro - Guanambi / BA CEP: 46430-000",,
,,,,,Ilhéus,Minas Gerais,,Brasil,,Av. Itabuna nº 1491 - Conquista - CEP 45650-015,,
,,,,,Ilhéus,Minas Gerais,,Brasil,,Rua Bento Berilo nºs 35/43 - Centro - lhéus / BA CEP 45653-270,,
,,,,,Ipirá,Minas Gerais,,Brasil,,"Praça Roberto Cintra, 360 - Bairro: Centro - Ipirá / BA - CEP: 44600-000",,
,,,,,Irecê,Minas Gerais,,Brasil,,Praça Doutor  Mario Dourado Sobrinho nº 43 - Centro - CEP 44900-000,,
,,,,,Itaberaba,Minas Gerais,,Brasil,,"Av. Rio Branco, nº 606 - Itaberaba - BA - CEP: 46880-000",,
,,,,,Itabuna,Minas Gerais,,Brasil,,"Av. Azis Maron, s/ número | lojas de nºs. 21, 22, 23 e 24 - Goes Calmon - CEP 45605-415",,
,,,,,Itabuna,Minas Gerais,,Brasil,,Rua São Vicente de Paula n.º 152 -Oswaldo Cruz - CEP 45.600-105,,
,,,,,Itamaraju,Minas Gerais,,Brasil,,Praça das Nações Unidas nº 590 Bairro: Centro - Itamaraju / BA CEP: 45836-000,,
,,,,,Itaparica,Minas Gerais,,Brasil,,"Av. Newton Belo, 431 - Centro - Santa Luzia - MA - CEP 65390-000",,
,,,,,Itapetinga,Minas Gerais,,Brasil,,Rua Pompilho Espinheira s/nº (esquina com a Rua Montes Claros) - Centro - CEP 45700-000,,
,,,,,Jacobina,Minas Gerais,,Brasil,,"Avenida Lomanto Junior nº 60
Bairro: Centro - Jacobina / BA CEP: 44700-000",,
,,,,,Jaguaquara,Minas Gerais,,Brasil,,"Praça J.J. Seabra, 116 - Jaguaquara / BA - CEP: 45345-000",,
