Logradouro,Endereço,Numero,Complemento,Bairro,Cidade,Estado,Região,País,CEP,Endereço completo,Latitude,Longitude
,,,,,Feira de Santana,Bahia,,Brasil,,"BR 324 sentido Salvador Feira (Avenida Deputado Luis Eduardo Magalhães) loja 319B, 320, 321 e 322, Limoeiro - Feira de Santana - BA - CEP 44096-486",,
,,,,,Feira de Santana,Bahia,,Brasil,,"Rua Marechal Deodoro, 438  - Centro - Feira de Santana - BA
CEP 44002-064",,
,,,,,Feira de Santana,Bahia,,Brasil,,"Av. Getúlio Vargas 663, Centro, Feira de Santana,/BA - CEP 44001-325",,
,,,,,Guanambi,Bahia,,Brasil,,"Rua Doutor Francisco José Fernandes  nº 90
Bairro: Centro - Guanambi / BA CEP: 46430-000",,
,,,,,Ilhéus,Bahia,,Brasil,,Av. Itabuna nº 1491 - Conquista - CEP 45650-015,,
,,,,,Ilhéus,Bahia,,Brasil,,Rua Bento Berilo nºs 35/43 - Centro - lhéus / BA CEP 45653-270,,
,,,,,Ipirá,Bahia,,Brasil,,"Praça Roberto Cintra, 360 - Bairro: Centro - Ipirá / BA - CEP: 44600-000",,
,,,,,Irecê,Bahia,,Brasil,,Praça Doutor  Mario Dourado Sobrinho nº 43 - Centro - CEP 44900-000,,
,,,,,Itaberaba,Bahia,,Brasil,,"Av. Rio Branco, nº 606 - Itaberaba - BA - CEP: 46880-000",,
,,,,,Itabuna,Bahia,,Brasil,,"Av. Azis Maron, s/ número | lojas de nºs. 21, 22, 23 e 24 - Goes Calmon - CEP 45605-415",,
,,,,,Itabuna,Bahia,,Brasil,,Rua São Vicente de Paula n.º 152 -Oswaldo Cruz - CEP 45.600-105,,
,,,,,Itamaraju,Bahia,,Brasil,,Praça das Nações Unidas nº 590 Bairro: Centro - Itamaraju / BA CEP: 45836-000,,
,,,,,Itaparica,Bahia,,Brasil,,"Av. Newton Belo, 431 - Centro - Santa Luzia - MA - CEP 65390-000",,
